Edad Alcanzada ,MUERTE ACCIDENTAL,MUERTE COLECTIVA
0-20,30143,8367
21-40,903549,1067974
41-60,1043016,1561472
61-80,191352,274069
81-100,8441,2067
Total,2168060,2911882
